               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.015064,            0.010669,           0.0034757,             0.80567,             0.88583,             0.87859,             0.73546,            0.013663,            0.013476,           0.0084498,            0.000505,            0.000505,            0.000505
                  77,              0.0152,            0.010728,           0.0037215,             0.80563,             0.88283,              0.8719,             0.73179,             0.01366,            0.013453,            0.008691,           0.0004984,           0.0004984,           0.0004984
                  78,            0.015059,            0.010521,           0.0036432,             0.82363,             0.88974,             0.89259,             0.74964,            0.013719,            0.013453,           0.0081963,           0.0004918,           0.0004918,           0.0004918
                  79,            0.014979,            0.010508,           0.0035878,             0.79616,             0.87978,             0.86555,             0.72542,            0.013617,            0.013397,           0.0088417,           0.0004852,           0.0004852,           0.0004852
                  80,            0.014887,            0.010542,           0.0036972,             0.79164,             0.87608,             0.85608,             0.71854,            0.013609,            0.013366,           0.0093033,           0.0004786,           0.0004786,           0.0004786
                  81,              0.0149,            0.010448,           0.0035628,             0.80695,             0.88507,              0.8748,             0.73528,            0.013579,            0.013366,           0.0088678,            0.000472,            0.000472,            0.000472
                  82,            0.014755,            0.010399,           0.0035386,              0.8114,             0.87632,             0.88208,             0.74147,            0.013537,            0.013345,           0.0086898,           0.0004654,           0.0004654,           0.0004654
                  83,            0.014782,            0.010422,           0.0034889,             0.80853,             0.89037,             0.88158,             0.74077,            0.013598,            0.013352,           0.0083715,           0.0004588,           0.0004588,           0.0004588
                  84,            0.014942,             0.01045,           0.0033573,             0.80356,             0.88001,             0.87501,             0.73437,            0.013548,            0.013312,            0.008934,           0.0004522,           0.0004522,           0.0004522
                  85,            0.014727,            0.010323,           0.0034498,             0.80175,             0.87663,             0.87299,             0.73316,            0.013565,            0.013301,            0.008949,           0.0004456,           0.0004456,           0.0004456
                  86,            0.014533,            0.010024,           0.0035128,             0.79456,             0.87126,              0.8741,             0.73378,            0.013513,            0.013288,           0.0090474,            0.000439,            0.000439,            0.000439
